comment,evaluation
给分不错，老师巨温柔！！讲的很多涉及高中物理。,medium
我们当年是考试……,bad
——————,medium
考核方式就是期末一个创意设计，讲课挺有趣的,good
期末交设计方案，老师人非常好给分非常高，但到得不齐会点名（不知道会不会影响给分）。另外想参加创新创业项目的同学建议选择，老师很有经验，能帮到很多忙。,medium
期末交一篇论文就好了，给分高，老师讲课很不错的,good
老师人很好，讲课很有趣，也会请一些相关行业的专家来分享经验，能够学到很多有用的东西。偶尔签到，但不扣分，期末交一个项目书，给分高，90+。,good
期末交一个项目书，讲课比较有意思，适合打算参加互联网创业的同学选，给分良心,good
期末交一个项目书即可,medium
老师给分真的很好，毕竟是大一选上的，还给了90+,good
老师讲的很好,good
讲课内容很实用，考核方式是课下编程，中间会有小的编程作业,medium
老师很亲切很用心的，上课常有签到但不算严格，给分90＋。有一半时间是上机，作业有好几次的样子（我是抱的大腿hhh）有期末考试，要认真学才行。不过学到Excel应用，很实用。,good
棒！,good
给分超高，能学到东西,medium
每节课都会有签到，按时去就没问题，老师人很好，讲课也不错，能学到东西，期中考试是答题，很简单，平时有几次作业，程序基本都是上课讲过的，非常简单，没有期末考试，给分超好，90+,good
给分不错,medium
老师很棒,good
事多，老师很耐心，但是事多，我每个作业都交了，给分低,medium
推荐这位老师,good
基本上每节课都有作业和签到，认真做完给分很高,medium
老师很好，轻松过关,good
内容很有意思，考试大部分是笔记,good
从古到今，老师的声音很有磁性，会每个朝代都以一位文人的故事来开端。开卷考试题目是平时讲过的作品。,good
很好,good
偶尔点名，期末开卷，老师讲的挺有意思的,good
上课要记笔记,good
没啥作业，也不点名，老师讲的很好，上课记得笔记就是考试内容,good
讲课不错，给分不高,good
平常点名少，没有平时作业。结课开卷考试，给分一般。,good
靠自己扯，要扯得有道理，要敢于在百度都查找不到什么内容的时候大胆胡言,good
介绍图书馆数据库资源，很实用,good
慎重慎重，课程内容很实用，但课程很枯燥,bad
点名两次，开卷考试（要听听课把一些东西写在老师发的PPT上）。感觉上不太好弄，不过均分挺高。？,medium
平时没有考核、课上不会提问、最后考试开卷但是，由于本门课程比较硬核，，想好好上课听讲的可以一选，就像那个学分的请远离,medium
老师人很好，点到要求严格，有一次插花，一次pre和实践，给分还不错,good
给分超级好,bad
课堂展示、小组活动、插花比赛、期末论文较多，任务较为繁重，但是老师比较温柔，课程内容也比较有趣。,medium
考核比较简单，期末论文,good
就上课常常放一个外国人的视频,medium
给分很好，会有比较多事情,good
逢课必点名，但是给分不错,medium
会点名，有小组作业，但是给分比较好,medium
挺好的,good
老师很温柔，有插花比赛和实地调研，挺有意思的，给分好,medium
讲课贼无聊，期末开卷考试给的重点根本不对，平时三次作业，坑,bad
有几次作业，开卷考，分给的挺高，一般九十多,medium
开卷考，有几次课后作业，最后一期交,good
老师超级好，唯一一次点名没去最后还是90+,medium
超无聊，反正水课，期末有考试，带回去开卷，85+,bad
平常比较抓考勤，特别是节前，然后期末把卷子发回去做,bad
期末发试卷回去做，老师人超好！给分很好,medium
额，不太记得了。只记得做了好几次作业,medium
平时点名和作业，作业最后一起交，期末有考试，,medium
试卷拿回去做，，很认真的复习了才做的，给的分很好，谢谢老师～,medium
划重点最后卡绩点了,bad
每节课都有几道作业，期末考试是从这些作业里出题，而且是开卷，老师人很好,medium
一直说闭卷到了期末当天突然改成开卷，几乎每次课都要点名，上课互动很多，不过给分不好，期末明明是开卷平时课也认真听了自认为自己的答案都是对的，每次课都到了没缺过勤，可是没上90好气啊,medium
最后开卷考加一篇论文，每周都去上老师眼熟你后给分90+，不过上课会点人回答问题,good
开卷，,medium
给分一般，也有几个给分高的，给分参差不齐,bad
还行吧，一些基础知识，可以开阔眼界，不过貌似有些文科生反映无法理解,medium
老师人很好..讲得有水平...最后开卷考试..就当扩展视野活跃思路的一门课,good
平常会把一些课后题目在PPT上展示，期末考试的时候会从中抽取题目考试，当然考前会把题目重新发给大家。貌似期末还会写一篇论文吧。给分基本上80+。,medium
上课内容不只局限于专业知识，很多扩展联系和思考都很有意思~平时认真记PPT做课后习题，期末试卷的题目就出自其中，每次点名都在，认真做题分炒鸡高⋯⋯,good
可以自由回答问题，老师会登记答问题的人的名字。也有时候可以去回答问题发邮箱。没有随机点名。结课的时候交论文。可以自由讲ppt（小组或者个人都可以）。发邮箱1次+论文+自己讲ppt，96飘过,medium
签到表签到,medium
666,medium
完全的水课,good
每节课签到，但给分很好,good
给分超级好，期末一篇论文,good
老师人不错啦，点名很水，论文也好写,good
平常签到。只有一篇结课论文，老师还说不建议超过两页纸。,good
不太喜欢老师讲课，很无聊，还有口头禅听着很不舒服。最后交一篇论文。,bad
每次签到，最后写一篇论文。90+,medium
老师讲课真的很无聊，但是给分好。期末交论文，手写有加分，90+,bad
偶尔点名，樊老师讲课讲得非常好，课程内容也十分实用。最后的考试比平时讲的要简单些，数学基础比较好的还是很容易答高分甚至满分的。很值得一上的数学课。,good
讲的是竞赛的题目，建议想参加大学生数学竞赛或想提高自己数学水平的人选这门课。有两个老师讲，对应着高数上下的内容，先是樊启斌教授，后是湛少峰教授，讲的都不错。,good
老师主要是课堂上微信签到，最后交两个PPT作业，给分82分，主要看运气吧,good
只讲PPT，讲课内容超实用，期末交作业，给分很好,good
这门课真的很好！！有干货实用而且给分还好！老师也很可爱！,good
老师超好！干货很多！,good
老师上课很有趣，讲解如何制作PPT，干货很多，期末要求交两个PPT和一个Word，给分很迷。,good
主要讲授如何制作PPT，期末考核是制作一份“阅读型”PPT和“演讲型”PPT，外加一份word说明，不点名，给分高，能学到东西，五星推荐,good
上课是教ppt制作，期末交两个ppt和一个word，从不点名，老师人很好，讲的也不错,good
上课是教ppt制作，期末交两个ppt和一个word，从不点名，老师人很好，讲的也不错,good
讲课超有意思，学了之后感觉世界观的变了，真的能学到很多。,good
最后交两个ppt，平常十分轻松,good
不错,medium
垃圾老师，水课,bad
老师真的超级好,good
真的超好，强烈推荐。轻松90+,good
给分非常好，事情有点多,medium
小组展示，结课800字手写论文，帮老师填问卷会有加分，90+,medium
每学期回答两次问题，小组作业一次，期末做问卷算入平时分。期末是一篇小论文。给分很好！,medium
给分分为上课发言和小组展示以及论文，所以要把握好发言机会，给分挺好的,medium
给分超好，老师给你很多加分的机会,medium
小组任务,medium
微助教签到答题，期末提前一周给试卷题目，每次课都签到、答题，试卷认真查文献、课件做的，最后85，给分有点迷,medium
期末卷子拿回去自己写，有一次展示,medium
每节课微助教签到，一次小组展示（人站在讲台上）。期末答题拿回去写。觉得不是很有意思哎。,medium
微信签到，期末试卷会提前发，有一个小组展示,medium
老师人很好,good
有趣的课，考试也不难,good
平时会签到，有个集体展示，给分一般,medium
微助教签到，考试开卷，给题目回去写,medium
很水，考核也简单，分数给得有点随意,medium
微助教签到，开卷考试提前一周给题目,medium
期末论文,medium
给分蛮好,medium
就一篇论文，非常好,good
老师学术很厉害,medium
老师讲的很好，是个大牛手写论文结课，用心写，并且引用数据图文之类的，给分95,good
论文结课，不点名，给分挺好,medium
手写论文，给分可以,medium
老师很好，讲的事情很有吸引力,medium
不点名，期末一篇论文，给分一般,medium
没有点过名，无作业，考核交一篇论文就行，给分挺好的,medium
很有意思的课。,good
老师超级niceeee！！！,good
期末论文，不点名90+老师超nice,good
讲课很有意思，给分很好,good
讲得很好玩超级推荐！,good
老师很有趣，期末交个创意报告,good
期末论文，老师很好,good
给分好，讲得好，点名基本上毫无压力,good
老师上课很有趣，期末写论文，给分很棒,good
老师人很好，nice！给分也很高,good
考核方式就是一篇论文，讲这节课与自己专业的关系，给分很好，老师很好，会提前一会儿下课，缺点就是在医学部上课，太远了,medium
医学部第一水课，一节课不来，写个800字小论文，90＋,medium
课讲的不错，每节课都换人，从不点名，期末一篇论文就好，给分不错,good
最后写论文，不点名，给分不错,medium
不点名，最后写论文，反正还行,bad
结课一篇论文，说的是800字写出自己的感想就好，给分很迷。结课后问老师，老师说你应该多写点，1500太少了，多查点文献，把查到的组织起来……so，自己的感想？,medium
给分很迷,bad
老师很好，上课人很多，最后小论文，给分不错,good
水课，不点名，期末交论文,medium
期末一篇1000字的文章,medium
89,medium
论文很难，给分一般,medium
微助教答题签到,medium
强力推荐！老师超级好，上课非常好玩，给分奈斯,good
老师会请外界人来上课，组队完成任务，，90+,medium
还可以吧，事情有点多，老师人比较逗，会请一两位行业专家过来讲他们的创业历程，结课写商业计划书或者事例分析，给分还不错,medium
上课会用微信小程序微助教点名，还会点人答题，中间又一次手写小作业，最后要交一篇论文或者创业计划书,medium
每节课都用微信小程序签到答题，老师还会随机点同学回答问题，，期末写创业计划书（组队）或者成功案例分析（个人），85分,medium
考试是一个创业策划书，可以小组合作，给分还可以，得了89.,good
很无聊的课，本来以为是生物相关，结果是创业课程，每节课微信点名，提问，还会点人回答问题。期末创业计划书或心得，给分低,bad
不错,good
小论文，不点名，上课有点意思,good
挺好的，大课，点名无压力，期末一篇论文,medium
一篇论文，有点卡绩，讲的不错有收获,good
老师很认真，给分也很好,good
最后交一篇论文，没有字数要求,medium
老师很认真负责，内容也很好，认真的话可以学到很多东西。期末论文好好写的话90+,good
轻松有趣,medium
还行,medium
挺好的，不点名，最后89。,medium
没点过名，每次上两节就下课，但是论文要是写不好就......,good
上课毫无压力，内容有点无聊，最后5000+论文,medium
结课五千字论文，日常无作业,medium
一般,medium
老师人不错，给分也行,medium
说实话，有点无聊，期末一篇5000字论文，给分还行,bad
给分一般，但是课程比较轻松,bad
老师讲材料方面的内容其实挺少的，最后的考试是一篇关于材料方面的论文，写的一般，老师给了87分,medium
期末交论文5000+，很容易90+,medium
事不多，期末一篇论文，虽然是ppt讲课，但平时讲的课也还不错哈，老师人挺好的,medium
事不多，没怎么去也给了80多分,bad
中间有一次展示，加分项；期末从老师给的选题里选一个写一篇论文。,medium
老师讲的不错，期末是交论文，有展示,good
老师挺有趣，平时作业当点名，期末写一篇自传类的文章,good
论文结课，中期有一次老师推荐电影的观后感小论文提交，给分很好，论文只要写出自己的感受分数就比较高。老师人很好，讲课个人感觉也比较有趣，主要是关于精神分析学的，会有推荐阅读书目。只是可能最后有点小疏忽成绩漏登了，不过最后还是补上了~,good
上课超有意思，偶尔点名，会给看电影，给分也很好,good
上课挺有意思的，最后论文结课，写关于自己就行，其他不限制，但为啥给分不好？,good
交作业变相点名，比较轻松,medium
有趣，给分好,good
授课方式很有趣,good
有时会乍现幽默，课程内容比较松,medium
给分奇高，上课也很轻松，也不知道怎么就94了,medium
期末一篇论文，老师讲课蛮有趣的，不过公选课最低分....还卡了绩点,good
老师讲课幽默风趣，期末考核很简单，1500的论文。没有平时作业，给分好。,good
很好啊,medium
课很有意思，有小作业，论文；老师允许缺课，但不建议，毕竟课那么好,good
有作业，不点名，给分不咋地,good
不点名，一个平时作业，期末手写论文。课程内容仔细听的话会学到很多。,medium
还不错,medium
给分还可以，内容比较基础,medium
给分一般，好像内容挺有用,medium
不点名，平常一个作业，结课论文，很轻松，给分好。,medium
每个老师讲解的都是自己研究领域的内容，会看电影,good
挺有意思的一门课。最后一节课点了名，期间有一次小组展示，期末要交一篇3000字的自传，难度不大。,good
平时分小组内考核，期末一篇论文,medium
平时分是小组组内考核，期末一篇论文,medium
第一节课会分小组，平时主要课堂讨论，期末一篇论文，平时分由小组内部考核,good
上课挺轻松的就是期末不容易上90，不知道为什么,medium
上课需要听，老师事情比较多，但是确实有趣。当时小组里好多人都是89，不知道老师是故意的还是什么,medium
看老师，有的老师贼好贼有趣，给分不错,medium
给分很好，基本没有什事情,good
蛮好的,good
一般,medium
最后交一篇小作文，老师讲的分厂好,good
考核是结课论文，记录咨询过程，很有意思,good
作业不多，能给到一些心理学启蒙。以两人成组互相心理咨询的方式上课，挺有趣的。作业认真写给分90+,good
要选搭档，然后每节课上课前20分钟心里咨询，考核是咨询内容的报告。不用担心要咨询什么哦，因为你会玩得开心的~,good
老师上课挺有趣的，给分好,good
分组做心理咨询,medium
没有签到，但会让你在前几节课选一个搭档，每节课开始和搭档互相咨询二十分钟。最后考核就是交根据这几次课的咨询结果写的报告。给分很好，是个认识异性朋友的好机会。,good
还行,medium
感觉课堂很有意思，会介绍一些心理现象和心理学学派，有几次随机的课堂作业作为点到，最后论文是分析原生家庭。,good
挺有趣的，有几次课堂作业,good
给分还不错。,bad
水课必选。从不点名，但是上课其实也还行。期末一千字小论文。给分很好。,medium
这个老师讲课非常无聊，打着讲视觉艺术的名号介绍风水，对西方艺术有极大偏见，期末考试是要赏析他自己的画，还鼓励学生靠把赏析他画作的文章放到网站上来加分，总之就是不要选！！！,bad
水～,medium
粁论文,good
不点名，上课还好，考试论文无压力，给分很好,medium
会讲各种美的东西，很有趣,good
不点名，期末交论文，给分90+,medium
论文考核，上课就欣赏电影以及瓷器？？电影有意思的。平均给分较高，但我的不高,medium
其实是基础美术审美欣赏课，看了很多电影，其实讲得还可以，最后作业，轻松90+,medium
就是点名，2到3次吧，不定期的期末开卷考试，超简单,medium
上课比较无聊，平时从不点名，最后开卷考试，但被卡了绩点，不太爽,bad
开卷考试，偶尔点到,medium
给分不错94，老师偶尔会安排签到,medium
点名一次。一次展示。期末开卷。90+,medium
最后开卷考试，给分还可以,good
点过一次名。三节课前两节老师就是在读课本第三节看纪录片或者电影。期末开卷考试，照着课本抄基本就90+。讲ppt可加分。水课，讲的没意思除非自己感兴趣，适合混学分。,medium
只点一次名，也没关系，最后开卷考，90+,medium
会随机走到你面前问问题。不点名。期末开卷。给分可以,medium
开卷考，给分高，，点过一次名,medium
一般,medium
超好,good
会点三次名，期末拿题回去做，挺有意思,good
期末论文，解释卦象，给分较低,medium
超级有意思！,good
讲的有意思就是给分emmmm,good
没有兴趣就不要选了，选了你也考不高,medium
期末写篇论文，随机点名三次，给分很一般。。,medium
十三次课随机点名三次，期末交一份作业算考试成绩，基本是ppt和讲过的原题，最后得了90,medium
讲八卦五行之类算命的东西，本来对这方面没什么兴趣，但发现跟着老师听一听还是蛮有意思的。期末布置三道题自己回去写，感觉自己全靠瞎扯，没想到还拿了90+,good
点三次名，最后开卷考,medium
对数术文化感兴趣的人可能会很喜欢这门课吧，老师人也很好，期末开卷考试，偶尔点名,medium
期末翻译一篇很长的英文论文，基本90+,medium
平时很水，考核是翻译一篇论文，很简单,medium
最后考试比较简单，高分也不难，考勤无压力,medium
从没点过名，期末选了读书报告，英文论文直接翻译一遍，90分,medium
没点过名，期间请过方青（流程创新），还请过一个专家（经济相关）。考试是读书报告和案例分析二选一，都是英文的，会按专业分配文章。,medium
很好的,good
老师人超超超级好！从来不点名，期末论文或者读书报告。,medium
没点过名，上课有点无聊，期末交个作业，90+,medium
老师对互联网金融颇有研究。对这方面有兴趣的同学上课没压力，都是些基础的东西。考试是翻译并总结一篇论文或一个互联网金融相关的企业案例，给分超级nice！,medium
有一些小作业，大概2到三次，期末论文。偶尔微信群里答道点名。认真写作业和论文，给分还好，90整。,medium
群里发言算点名,medium
平時作業兩次，期末論文一次,medium
交三次论文，上课没什么意思，最后82,bad
两次小论文，期末大论文。上课比较无聊，老师自己也没什么热情。,bad
没意思，给分也一般，不推荐选,bad
嗯，老师基本就是照着ppt讲了，没什么意思，会布置2-3次作业，都是跟商品包装有关，不算太难，期末要交一次论文。老师会挑着点3次名（可能看来的人少了就会店名），期末给分90+。,medium
三篇论文，最后94，只要认真写应该没问题,bad
交三篇论文，85分,medium
中间写了两次论文，最后交一篇论文，88,medium
一次展示，每次课传名单签到，最后一篇论文，给分90+,medium
签到是表格签到，课程还是有点干货的，作业是分组完成展示。,medium
签到是手写穿表，课程内容有点无聊，但是作业认真做分数就很好,bad
不要选。给我81,bad
不要选...,bad
不点名但是三次作业要交，期末考试题难，搜不到那种,medium
慎选吧，给分可怕还卡绩。。。,good
给分是真的可怕……,medium
很烦，，71的路过,medium
一共交三次作业，算是点名，期末开卷,medium
讲课一般吧，给分不错，考试可以上网查，有时候会交课堂作业,medium
怀着八卦的心报但是没听到多少八卦，哎……没点过名，期末考试简单,bad
我看了分数，，“哇”的一声就哭出来了。。。。，，,medium
一共点两次名，以交课堂小问题的形式，给分一般，期末开卷可带手机电脑,medium
给分不高,medium
课程内容挺枯燥的，慎重选择。,medium
第二节课下课到第一排去签到，有一次参观实验，期末交实验报告，最后开卷考试，可以带电脑看ppt，90+无压力,medium
给分无敌好，实验期末都是照抄,medium
课程内容有点无聊，会经常签到，有一个实验报告，期末开卷考试，给分非常好,medium
给分非常高，期末开卷，有题库，照抄，中间有次实验，很水，强烈安利这门课。,bad
比较轻松，期末开卷,medium
一次实验报告，给分很好,good
做一次实验，交一下报告，期末开卷考试，可以带电脑，给分高,medium
老师人很好，期末开卷考试有题库，可以带手机或电脑，直接抄就行了,medium
挺好,good
老师人很好了，提前给题库，考试前交一次实验报告,medium
开卷考试,medium
可以学到东西最后轻松90+,good
不点名,medium
不点名，最后99，良心代码课，必选！,medium
老师超级好，大学四年目前最好的选修课老师,medium
给分很好，不点名，认真听也能学一些,good
有好队友轻松90+,good
老师人超好的，只要好好考试，不用担心不会90,good
3次作业，期末开卷，轻松90+,medium
没有基础的听着会有点吃力，不点名，闭卷考试，有三次作业，上课做好笔记，老师很好,medium
一次实验报告，开卷考试，简单，给分好,medium
开卷考试，,bad
还行,medium
很好的老师，不点名，我翘过两次课,medium
考试不会为难大家，开卷,medium
课堂内容没怎么听，期末考核为实验报告，参观基地，这个很好玩，学了不少东西。,medium
中间有一次实验，填写一次实验报告。开卷考试，会给资料，给分可以。,bad
一份实验报告，有平时接触不到的知识，最后开卷考试，老师很好,medium
老师很认真，小组展示，论文,medium
无情高分,bad
考核方式就是期末一个创意设计，讲课挺有趣的,good
期末交设计方案，老师人非常好给分非常高，但到得不齐会点名（不知道会不会影响给分）。另外想参加创新创业项目的同学建议选择，老师很有经验，能帮到很多忙。,medium
期末交一篇论文就好了，给分高，老师讲课很不错的,good
老师人很好，讲课很有趣，也会请一些相关行业的专家来分享经验，能够学到很多有用的东西。偶尔签到，但不扣分，期末交一个项目书，给分高，90+。,good
期末交一个项目书，讲课比较有意思，适合打算参加互联网创业的同学选，给分良心,good
期末交一个项目书即可,medium
老师给分真的很好，毕竟是大一选上的，还给了90+,good
老师讲的很好,good
每次上机写作业，没有期末（大概,medium
老师很可爱，讲的也很基础，如果真的想学习C语言建议选专业课或者自学,good
每次课都会有上机作业，当然也可以后补，老师讲课很温柔，讲的也比较细，期末会有一次测验。认真听，是可以学到不少C语言基础知识，收获也是蛮大的，给分也很好，我记得我拿了99分,good
就是每次的上机作业和期末测验~老师会一点点教~也可以抱大腿~只要作业做完了给分就很好,medium
老师很好呀,good
总体感觉还不错！,medium
每节课都要做小作业，其实不会的话可以找同学帮忙，老师人很好，96分,medium
每节课都要上机训练,medium
老师人超级无敌好,medium
给分贼好,medium
下课要花些时间弄懂老师讲的，要好好写作业。,medium
标准有点迷，讲课的详略安排不是很理想，有些东西需要课后慢慢弄明白,medium
不是特别感兴趣的真的不建议选,bad
讲的有乐理，没基础挺费劲，最后做两段音频，给分有点迷,medium
首先还是要表达一下对老师的感谢。上课非常有意思，互动性强，如果认真做笔记的话可以学到很多会讲SONAR和Cubase这两个软件，感觉Cubase很有用，但SONAR可以用overture来代替对乐理基础的要求并不高（即使啥也不懂，也只需要把五线谱的高音谱号和低音谱号都给认熟练就行），但笔记极其重要（还会讲三和弦之类的）但有意思是一方面，另一方面，不建议用这门课来水学分，因为即使你平时把这门课当成专业课来学习，来重视，也并不能保证你期末能满绩（没错，给分细则不详，也许你把它当成数分那么重要来学也只能得80多分）（89成功卡绩的路过）,good
非常不推荐，讲课进度太快，没有基础的话基本跟不上，最后还要交自己写的音乐，给分也不好，坑爹啊！！,bad
期末做一个短的音乐，但给分一般，,medium
讲的是非常基础的乐理知识，及Sonar和Cubase的简单使用，考核需要交一首midi格式的音乐和一首自己用软件做的音乐，有一定的难度，认真做了也只有88分,medium
除非有巨大到做梦都在搞电子音乐的兴趣，否则不建议选择,bad
有音乐基础的话可以学到一点简单的Cubase和sonar的应用，老师讲课稍微有点拖，不过人还挺好的,medium
平常有三次点名，最后交了两篇小论文。课程内容很多，有些枯燥。,medium
坑爹啊，最后闭卷考试，试卷和专业课一样，坑坑坑,medium
闭卷，按照网上复习题纲加上一定努力就可90+,medium
课堂比较无聊，老师典型的理科男。不过课堂本身内容还是很丰富的，认真听会有收获。闭卷考，背一背讲义，大体没有问题。,bad
每次点名之前一节课都会提醒，老师上课也很轻松，不会有什么要求，也没有作业，考试也比较简单,bad
总的加起来写了一万字的论文，三篇，给分还不错,medium
三篇论文，均字4000以上，95,medium
期末交三篇论文，93,medium
每次上课打牌，很有意思,good
最后联系桥牌写论文，有字数要求,good
"<script>alert(""老师很有人格魅力，最后结课当场写一篇论文"")</script>",good
没怎么去过，最后一篇论文,good
上课就是前两节课和牌友（固定牌友）打牌，后一节课老师讲课，，挺有意思的，期末是当场写一篇1500字的论文,good
课很好，老师很好，周围同学分不错，但是我为啥得了82，很气，很气,good
半节课打牌半节课上课，期末考写作文，挺有趣的,good
好！,good
这个牌比较难打，但是会打了很有意思的，85+,good
蹭分首选，若对桥牌有兴趣更好,good
只要缺点名你就凉凉只有60+，请假迟到都会扣分,good
非常好的老师！,good
只有一次没去赶上点名，期末也好好复习了，同样情况的同学考了90+，自己只有60多，很迷。,medium
老师课讲得挺好的，能学到东西，两次课上点名，记得比较严格，请假也会扣分,good
考试就是听歌识曲．．固定点名２次,good
老师特别幽默，上课很有趣，上课认真听了，考前复习一下，90+没问题的。,good
感觉老师特别好，课也很有意思（如果我在多会一点音乐知识的话）,good
老师讲课很幽默，每节课都去了，认真学习不翘课90+应该没问题,good
老师讲课很好。但是时不时点一下名，中途有一次随堂小测，运气不好逃过两次课都点名了，最后60+，不过每次去的话分会很高吧,good
老师很逗，大美女，然后平时上课就是听歌，边听老师边讲。一共会有三次点名，期末考核是听十首音乐，写出曲名，作者，出处，无压力,good
没什么作业，老师也很好讲的也很新颖,good
平常没啥作业，老师经常换，给分不怎么样,medium
考试开卷，题目书上找不到,good
有三次点名，决定平时成绩，每节课的老师都不一样，大部分老师都挺有趣的，老师也很棒棒，考试就是考平时讲过的基础知识，水课的别来，都是干货,good
老师讲课速度挺快的，但是对问题很耐心。都是生科院的教授讲课，期末开卷，老师不给PPT，但是不会考细节，只考对每个专题的大概认知，8个论述题。基因专题最好听听，考试有点难,medium
点名似乎只有一次，每个部分都有不同的老师来上，上课可以说很精彩。期末考开卷，但是一本书根本不够，然后老师改卷应该很严吧，分数太好。,good
会用微助教点两次名，中间有几次作业，最后开卷考试，70多，很无语,medium
偶尔点名，最后开卷考试，但是也很难，给分不咋滴,medium
没有作业，期末开卷,medium
很好的一门课，引人入胜，能学到很多,good
两次,medium
闭卷，给分高,good
老师还是很有趣，内容比较乏味，期末开卷90+,medium
挺实用，但是老师讲的不是特别有趣，课件偏老,medium
松的闭卷考试会画重点给分在85以上,medium
老师比较严，经常对课堂上同学不听课发牢骚，有一两次会点同学起来回答问题，算是点名了吧。,medium
开卷考试，题目还可以，轻松90+,good
开卷、有一次其中出一道题来做、论文作为平时成绩,medium
给分好，期末论文+考试，老师人也很好,medium
给分、给分、给分，，，很好,medium
老师很负责很温柔，期末开卷老师给材料，最后85+,medium
每堂课都签到，期末开卷，给分挺好,medium
开卷，老师人很好，我觉得自己做得不怎么好，老师也给了90,medium
开卷，抄得累死，最后88,bad
ok,medium
老师人很好，期末给资料，开卷考试，给分无敌好，96,medium
90+,medium
给分很好，90+,medium
每节课签到，上课玩手机老师也不理，期末开卷，但给分一般，卡绩点,medium
老师讲得好，而且开卷考试也不难,good
上课基本是ppt，虽然是开卷考试，但给分总有坑的,bad
哇，求求大家千万别选。每堂课都到，中秋节那次课都到了！课堂展示认认真真做了，考试认认真真准备了答题了，还检查了三遍。最后给了我80，而且我不是个例，还有个同学跟我差不多说他78。。。想找老师问原因没有任何回复，千万别选！真的辣鸡！！！！,bad
期末考试很迷……,medium
平时会点名，只是一定注意那个计算题啊，我几次点名都没到，本来以为会分很低，但正好听到了那个计算题，最后居然比另外一个天天去的同学分还高。。。,medium
点五次名可以请两次假，有一次pre，期末开卷就打印PPT，给分超好，90+,medium
点5次名，我正好点名都到了~~期末开卷，只要把老师的PPT全部打印下来就行，抄的手快断了，给分很好,medium
很好,good
期末考试，打印老师的PPT就可以，题目简单，老师人美心善，课上带过泥土样本给我们玩泥巴,medium
老师允许请假，点名会在微信群提前通知，开卷全考PPT内容，有个计算题注意上课听讲理解一下，90+无压力,medium
三次作业，期末试卷可以带回去做，总体还行就是给分较低,medium
很水，点名是签到的形式，三堂课一般只上两堂，两次一百字的小作业（百度可以解决），期末试卷带回去做，给分一般,medium
真的服，我跟室友一样的考勤一样的期末开卷答案，一个90一个80,bad
考核方式是试卷，下课完成，内容都是上课涉及,medium
期末开卷考试，试卷带回去，两个星期时间完成,good
3学分力性价比最高的,medium
会交纸条查签到，考试自己把试卷带会去做,medium
老师很好，三次作业，基本不听课，查查资料写点东西90+,medium
给分好，很好,good
超赞,good
期末考试还是很有难度的。,medium
5次点名，一次10分,bad
老师人很好，但是还是要有韩语基础或者热爱韩语想要学习韩语的去学吧,good
大学最喜欢的一门选修课，老师讲课很有意思，平时偶尔点名，点名一次十分，期末考试闭卷，不算难，要么认真学要么抱大腿。95分,good
老师讲课很有意思，会讲一些她在韩国的见闻。但期末考试有难度。然后有安排和韩国留学生交流。,good
无压力，5次签到占50分，期末50分,good
老师人很好，给分也很好,good
喜欢韩语的人，推荐上；没兴趣的话很痛苦,good
一共五次点名，期末闭卷考试。老师讲的很好，但是东西要复习，不复习都忘了，我现在都不记得元音辅音怎么念了,good
讲的很好，期末出了好多选择题，就是我对韩语不开窍~~有助攻90+,medium
论文结课，水水,medium
好课,good
给分好，别的不说了,medium
给分高,medium
期末论文，给分高。,medium
分高，几乎没去，,medium
经常放大国崛起...,medium
一篇论文，经常看大国崛起，会按照院系点名,medium
老师观点独到，讲的很好，论文比较好写（给题目）给分也好,good
老师讲的不错，很有见解，偶尔会点名，最后交篇论文，比较轻松90+,good
很有意思的课。,good
老师超级niceeee！！！,good
期末论文，不点名90+老师超nice,good
讲课很有意思，给分很好,good
讲得很好玩超级推荐！,good
老师很有趣，期末交个创意报告,good
期末论文，老师很好,good
给分好，讲得好，点名基本上毫无压力,good
老师上课很有趣，期末写论文，给分很棒,good
老师人很好，nice！给分也很高,good
微助教签到答题，期末提前一周给试卷题目，每次课都签到、答题，试卷认真查文献、课件做的，最后85，给分有点迷,medium
期末卷子拿回去自己写，有一次展示,medium
每节课微助教签到，一次小组展示（人站在讲台上）。期末答题拿回去写。觉得不是很有意思哎。,medium
微信签到，期末试卷会提前发，有一个小组展示,medium
老师人很好,good
有趣的课，考试也不难,good
平时会签到，有个集体展示，给分一般,medium
微助教签到，考试开卷，给题目回去写,medium
很水，考核也简单，分数给得有点随意,medium
微助教签到，开卷考试提前一周给题目,medium
两个小作业，期末开卷考试,medium
三次小作业，考试开卷很简单,good
没点名，中间两次小论文，考试开卷，可以看老师发的ppt或者老师推荐的一本书，可以带手机或电脑但不能上网。给分92,medium
考试开卷，，最后86,medium
给分行，就够了,bad
两次小论文，CtrlcCtrlv即可。没点名。考前会给ppt，再不放心可以去借一本书（测绘的有），考试抄就行,good
捡漏上的，总共才7节课，没敢逃，但老师不点名的，期末开卷，手机电脑笔记本随你带，能抄完算我输，卡到了89。。。没有想象中那么棒，但要选不上就选他呗。,medium
啥也不会，讲的很有意思可惜文科生实在听不懂，考试开卷，提前一个小时交卷绝对没问题，期末90+妥妥的,good
能学到很多，最后考试开卷,good
